issn;impact_factor
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING;1.671
INTELLIGENT AUTOMATION AND SOFT COMPUTING;1.647
JOURNAL OF MATHEMATICAL IMAGING AND VISION;1.627
APPLIED ARTIFICIAL INTELLIGENCE;1.580
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS;1.518
Neural Network World;1.518
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING;1.470
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS;1.431
International Journal of Applied Mathematics and Computer Science;1.417
ACM Transactions on Asian and Low-Resource Language Information Processing;1.413
PeerJ Computer Science;1.392
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE;1.373
NETWORK-COMPUTATION IN NEURAL SYSTEMS;1.273
Information Technology and Control;1.228
Advances in Electrical and Computer Engineering;1.221
International Journal on Artificial Intelligence Tools;1.208
KNOWLEDGE ENGINEERING REVIEW;1.115
Applied Ontology;1.115
AI MAGAZINE;1.094
Natural Language Engineering;1.070
Statistical Analysis and Data Mining;1.051
ACM Transactions on Autonomous and Adaptive Systems;0.971
JOURNAL OF AUTOMATED REASONING;0.944
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING;0.861
Intelligent Data Analysis;0.860
International Journal on Semantic Web and Information Systems;0.843
Journal of Logic Language and Information;0.829
Turkish Journal of Electrical Engineering and Computer Sciences;0.806
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE;0.789
International Arab Journal of Information Technology;0.669
ARTIFICIAL LIFE;0.667
Malaysian Journal of Computer Science;0.622
AI COMMUNICATIONS;0.537
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL;0.536
COMPUTING AND INFORMATICS;0.319
INT J WEB SERV RES;0.868
APPL ONTOL;0.852
AD HOC SENS WIREL NE;0.851
INFORM TECHNOL LIBR;0.811
J INTERNET TECHNOL;0.786
IEEE LAT AM T;0.782
DISTRIB PARALLEL DAT;0.757
INT J AD HOC UBIQ CO;0.714
SIGMOD REC;0.711
DATA TECHNOL APPL;0.704
INFORM PROCESS LETT;0.677
KSII T INTERNET INF;0.648
J INF SCI ENG;0.541
INT ARAB J INF TECHN;0.467
IEICE T INF SYST;0.449
IEICE T FUND ELECTR;0.334
BELL LABS TECH J;0
